id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
72,Silent Threshold,Fennel Quill,house,hypnotic,0.88,125,0.72,0.86,0.08
73,Rising Constellation,Solene Calloway,house,euphoric,0.78,125,0.62,0.92,0.09
74,Endless Meadow,Bramble Quill,dubstep,dark,0.80,142,0.55,0.77,0.10
75,Ancient Cascade,Ember Bishop,dubstep,dark,0.92,147,0.42,0.70,0.09
76,Silent Labyrinth,Dune Grove,soul,romantic,0.64,82,0.59,0.74,0.45
77,Electric Terrace,Indigo Lachlan,soul,romantic,0.56,100,0.67,0.66,0.46
78,Hidden Labyrinth,Ember Castellan,chiptune,quirky,0.81,145,0.71,0.68,0.27
79,Whispering Alley,Opaline Thorne,chiptune,energetic,0.79,143,0.72,0.70,0.19
80,Marble Current,Indigo Rivers,orchestral,epic,0.48,94,0.33,0.19,0.83
81,Amber Nightfall,Rune Reyes,orchestral,somber,0.51,94,0.46,0.17,0.92
82,Lonely Sanctuary,Wren Dane,afrobeat,energetic,0.85,118,0.74,0.78,0.27
83,Starlit Wildfire,Dune Knox,afrobeat,warm,0.77,117,0.83,0.91,0.30
84,Faded Vessel,Isolde Vale,salsa,confident,0.75,193,0.86,0.90,0.37
85,Silver Undertow,Basalt Vale,salsa,confident,0.81,192,0.69,0.89,0.23
86,Ancient Bridge,Cedar Rivers,flamenco,melancholic,0.60,119,0.50,0.60,0.69
87,Starlit Cascade,Lyric Ives,flamenco,intense,0.64,137,0.56,0.65,0.69
88,Sleepless River,Opaline Bishop,celtic,hopeful,0.58,100,0.55,0.40,0.64
89,Silver Timeline,Halcyon Marrow,celtic,nostalgic,0.49,101,0.69,0.43,0.75
90,Velvety Nightfall,Onyx Grove,trip hop,mysterious,0.54,73,0.44,0.64,0.54
91,Lonely Reverie,Juno Quill,trip hop,moody,0.45,90,0.36,0.59,0.48
92,Vivid Beacon,Bramble Marrow,drum and bass,intense,0.86,173,0.62,0.76,0.11
93,Silent Cascade,Cassia Moreau,drum and bass,intense,0.87,171,0.61,0.87,0.11
94,Ivory Season,Sable Rivers,grunge,raw,0.79,147,0.37,0.62,0.27
95,Velvet Orbit,Ember Castellan,grunge,aggressive,0.85,146,0.45,0.53,0.11
96,Hidden Bridge,Isolde Quill,ska,happy,0.83,151,0.71,0.79,0.33
97,Bright Horizon,Kestrel Quill,ska,playful,0.71,156,0.75,0.81,0.29
98,Sleepless Nightfall,Isolde Castellan,opera,triumphant,0.43,74,0.44,0.20,0.91
99,Painted Timeline,Basalt Sharp,opera,dramatic,0.55,107,0.49,0.22,0.87
100,Endless Alley,Indigo Marrow,bluegrass,nostalgic,0.58,144,0.77,0.59,0.59
101,Velvety Timeline,Lyric Fairweather,bluegrass,warm,0.75,122,0.62,0.52,0.62
102,Marble Pulse,Marlowe Rivers,indie folk,nostalgic,0.54,102,0.56,0.59,0.78
103,Starlit Corridor,Onyx Jarrow,indie folk,nostalgic,0.44,100,0.61,0.47,0.84
104,Emerald Timeline,Onyx Ives,dream pop,dreamy,0.45,87,0.63,0.59,0.58
105,Dusty Threshold,Vesper Thorne,dream pop,dreamy,0.49,98,0.63,0.61,0.60
106,Iron Wildfire,Corvus Lachlan,garage rock,energetic,0.80,143,0.68,0.60,0.19
107,Broken Labyrinth,Rune Bishop,garage rock,restless,0.79,127,0.49,0.58,0.11
108,Whispering Overture,Auden Moreau,math rock,intricate,0.61,138,0.58,0.59,0.24
109,Vivid Meadow,Frost Rivers,math rock,intense,0.69,154,0.46,0.48,0.20
110,Amber River,Cedar Larkspur,vaporwave,mysterious,0.45,88,0.63,0.54,0.44
111,Endless Overture,Zephyr Rivers,vaporwave,chill,0.41,89,0.41,0.54,0.41
112,Emerald Echo,Vesper Thorne,chillstep,chill,0.65,96,0.64,0.62,0.55
113,Distant Timeline,Kestrel Bishop,chillstep,peaceful,0.63,80,0.68,0.59,0.56
114,Velvet Timeline,Thistle Fenwick,new age,hopeful,0.21,58,0.65,0.27,0.91
115,Midnight Aftermath,Zephyr Ives,new age,peaceful,0.24,65,0.51,0.22,0.92
116,Scarlet Horizon,Halcyon Jarrow,samba,warm,0.75,101,0.80,0.88,0.30
117,Whispering Labyrinth,Cedar Quill,samba,happy,0.78,104,0.79,0.89,0.22
118,Echoing Beacon,Bramble Thorne,tango,intense,0.63,100,0.55,0.57,0.65
119,Wandering Prism,Onyx Bishop,tango,intense,0.67,122,0.48,0.67,0.53
120,Rising Timeline,Indigo Castellan,dream pop,chill,0.45,104,0.61,0.63,0.72
121,Faded Sanctuary,Bramble Jarrow,classical,somber,0.25,87,0.29,0.10,0.94
122,Feral Passage,Halcyon Moreau,lofi,focused,0.34,80,0.52,0.56,0.79
123,Ancient Parade,Dune Quill,funk,confident,0.78,107,0.85,0.84,0.21
124,Rising Nightfall,Frost Hartley,blues,soulful,0.35,81,0.50,0.43,0.68
125,Crimson Static,Kestrel Marchetti,reggae,hopeful,0.62,92,0.67,0.79,0.35
